Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.1	fgUsUPu	Si ergo de regimine Principum ,	¶E por ende si del gouernamjento delos prinçipes	baxWoyi
1.1.1	dn4cnn4	Cum enim doctrina de regimine Principum sit de actibus humanis ,	¶ la primera rrazon es tal¶ Commo la doctrina del gouernamjentodel gouernamiento delos prinçipes	cMmhY5b
1.1.2	gUVbty8	ut prius determinetur de regimine sui ,	que primeramente digamos del gouernamjento de si mism̊	trzszAB
1.1.2	maIAvjY	quam de regimine familiae , siue regni .	que del gouernamjento dela conpaña del regno¶	sGq9A28
1.1.2	bgAwmf2	tanta prudentia in regimine familiae ,	njn sea menester tanta sabiduria | para gouernamj̊ de su conpaña	uq7FTok, evDfVhT
1.1.2	mhLPttY	et ciuitatem . In primo autem libro in quo agetur de regimine sui ,	que sepa gouernả su rregno e sus çibdades ¶ pues que asy es en el primo libro | en el qual tractaremos del gouerna mjeto del omne .	r2jq9xN, cqukRgA
1.1.2	oW4H4VU	volens tractare de regimine sui ,	el que quiere tractar del gouernaiento	aFzuVuN
1.1.7	ybSvKiu	ut patebit in 3 lib’ cum determinabitur de regimine Regni .	assy commo demostrͣemos enl terçero libro | quando determinaremos del gouernamiento del regno	xu0mR3V, vRA6Pqa
1.1.13	yWWxFyO	indicat eius praemium esse magnum . Primae partis primi libri de regimine Principum finis .	la qual materia es la gente e la muchedunbre delons pueblos esta muestra	eIciDTZ
1.1.13	d9XN7q4	SECUNDA PARS Primi Libri de regimine Principum :	Et aqui se acaba la primera parte	koTjNIL
1.2.1	muYvNnz	in quo agitur de regimine sui ,	en que se tracta del gouernamiento del omnen en ssi .	fJKmDn3
1.2.7	rqvXDA1	sed etiam confirmant singula regimina naturalia . Videmus enim naturaliter homines dominari bestiis ,	e confirman la todos los gouernamientos naturales . | Ca uehemos que los omes son naturalmente sennores delas bestias	q2n8rq3, wrbNFyb
