Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.7	hzyNKUw	quod tamen bonum Reipublicae non procuret :	que non procure el bien del pueblo | mas el suyo propio .	aWTjKVx, s2MskYZ
1.2.10	ap3elIp	et ad rempublicam ,	e al bien comun	bgrYSrG
1.2.10	fV8CUWh	quia aliquando aliqui plus laborantes pro Republica ,	Ca alas vezes algunos trabaian | mas por la comunidat	fGKVgnd, zVz8Y0t
1.2.21	al88cHl	et erga rempublicam ,	e en el bien comun	l1dFBwc
1.2.27	rYc93ae	vel propter amorem Reipublicae	o por amor de la comunidat	fdjU67K
1.2.27	v6EEJ1A	quia sine ea Respublica durare non posset .	por que sin ella la comunidat non podrie durar . | por la qual cosa si el Rey o el prinçipe o otro	fMou73g, iD4gXHy
1.2.27	xOsyLlK	et conseruatores Reipublicae .	de seer guardadores dela iustiçia | et mantenedores dela comunidat .	fkaQaMb, tPZ7Z0v
1.3.3	bQmnGqf	quia ciues pro Republica non dubitabant se morti exponere .	por que los çibdadanos non duda una de se poner ala muerte | por el bien comun de todos .	pPfj6ri, h3QosRa
1.3.3	wbCftl2	ad Rempublicam fecit Romam esse principantem	e publicofizo a Roma ser sennora	zvf395b
2.2.17	awH6mMd	aliquando sustinere fortes labores pro defensione reipublicae :	conuiene les de sofrir alguas uegadas fuertes trabaios | por defendemiento dela tierra .	mJJw3X9, aJO8Sm8
2.2.17	vJLEvA9	et congruitas quod respublica defensione indigeat , habeant corpus sic dispositum ,	en que la tierra aya meester defendimiento | ayan el cuerpo o bien ordenado	z7XMJBP, eglDOO8
2.2.17	noUhFDJ	ut per eos respublica possit defendi .	e pueda defender la tierra .	efRiuVg
2.2.18	wPnfLu2	sed etiam necessarius pro bono Reipublicae ,	Mas avn es neçessario para el bien e para el defendimiento dela comunidat	buzJCko
2.2.20	pzqcNvK	nec regiminibus reipublicae ;	nin c̃ca los gouernamientos dela comunidat | nin dela çibdat	wEaWivK, tf680cR
3.2.17	s1ifO4h	quod apud Romanam Rempublicam exaltauit fidelitas consiliantium :	ca esto fue lo que enssalço la comunidat de Roma fieldat de buenos consseieros	ks7IKg8
3.2.17	dEOg8Fw	quod fidum et altum erat secretum consistorium reipublicae , silentique salubritate munitum :	e muy alto era conssisto no secreto dela comunidat de roma | alos quel guardananca era guaruido de grant fialdat .	deEfpss, yiIsKvb
