Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.1	vfHIt4g	o delos Reyes entendemos dar arte	siue Regum intendimus artem ,	eynLAWq
1.1.1	pFz3dWc	Ca commo quier que cada vno non pueda ser rrey	Quamuis enim non quilibet possit esse Rex vel Princeps :	huiyvnD
1.1.2	oOnDmMS	que es el Rey	quomodo quilibet homo seipsum regere debeat . In secundo vero manifestabitur ,	mgYcppg
1.1.2	pItYBwH	commo deue el Rey	quomodo debeat suam familiam gubernare .	yMNJnGb
1.1.2	vGzKfNg	Commo deue el rrey enseñorear gouernar la çibdad	quomodo praeesse debeat ciuitati ,	c5sxFhY
1.1.2	bUdvORk	e EL rreyno¶	et regno . Primo ergo libro deseruiet Ethica siue Monastica . Secundo Oeconomica . Tertio Politica .	q6iurq6
1.1.2	h0jcv04	en que deue la Real magestado el rrey	Nam Primo ostendetur in quo regia maiestas debeat suum finem ,	nERtARl
1.1.2	tfKx9Hi	Lo segundo demostrͣemos quales uertudes deue auer el Rey	Secundo quas virtutes debeat habere ,	iH1fEW1
1.1.2	sIQzCTX	son natraalmente mal creyentes e auarientos	( ut suo loco ostendetur ) sunt naturaliter increduli ,	xPRY3NP
1.1.2	iK8ecAp	e francos e bien creyentes	et auari : iuuenes vero sunt naturaliter liberales ,	dV4rnH6
1.1.3	q8SIlmm	sy los Reys o los prinçipes derechamente las sopieren	recte cognoscantur ,	fGnsyB3
1.1.3	qBm2bMC	e commo conuiene alos rreys	et quomodo eos ,	seir7Na
1.1.3	nZ3tQmX	e avn rrey	et ad unum regem ,	a66kO4D
1.1.3	zvFVnFw	asy es asy commo el rrey non puede auer el Regno	sicut ergo rex non dicitur habere regnum ,	avzfctU
1.1.3	vaV3JQX	o sy los moradores dela çibdat o del rregno non obedesçieren al rrey o al cabdiello	qui non obediant regi , vel duci :	jgfGkdt
1.1.3	sV9Ie53	e mayormente prinçipe o Rey	absque diuina gratia obseruari non possunt , decet quemlibet hominem , et maxime regiam maiestatem	xiXQxvP
1.1.4	fo8kOMi	Et mayormente la gera de dios es neçesaria alos Reys	et maxime necessaria est Legibus ,	bNLKEYC
1.1.4	zrFtliF	e a todo rrey saber	nam tales	jpM1DxD
1.1.4	kFTOT7t	los tales que biuen vida deliconsa e carnal son tales commo los que escogen uido de bestias . Mas cada vn rrey e cada vn prinçipe es dicho avn en sy vida actiua	recte regendo . Per vitam contemplatiuam vacet	uSGtSQG
1.1.4	oCRa5Zy	tantomas conviene dela auer los rreys e los prinçipes	tanto magis decet habere reges et principes ,	rwamhWn
1.1.5	ndnZSwg	que conujene al rrey en toda manera de conosçer la su fin ¶	quod expedit regi suum finem cognoscere . Prima est ,	jFdC6Cs
1.1.5	it3apXB	La primera rrazon es en quanto el rrey	quod expedit regi suum finem cognoscere . Prima est ,	jFdC6Cs
1.1.5	t0WsRYV	mas conuiene al Rey o al prinçipe .	sed maxime hoc expedit regiae maiestati ,	x3y48fJ
1.1.5	qFjSzyw	por que el Rei es ordeador	ex eo quod Rex est aliorum directiuus .	zJSG0wv
1.1.5	xWYfaOy	que mas conuiene al Rei o al prinçipe de conosçer		
1.1.6	worIJMq	mas mucho mas es de denostar el Rey	Sed maxime hoc est detestabile Regiae maiestati :	s3bz4Ew
1.1.6	oVHtKyR	que conuiene al Rei	Dictum est enim quod decet Principem esse supra Hominem ,	nQgdGqg
1.1.6	mU0HC9t	por que el Rei non deuͤ poner su bien andança	ut vitam pecudum eligat ,	dNKnxPn
