Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.10	xZX5xYr	que tal prinçipado e tal sennorio non dura mucho ¶	ex eo quod talis principatus non multum durat . Secunda ,	uyXIYZF
1.1.10	jgJ3waj	que tal prinçipado e tal sennorio puede seer sin bondat deuida ¶	ex eo quod esse potest sine bonitate vitae .	ngsu19D
1.1.10	zEbBpjA	por que tal sennorio en la mayor parte faze gerat danno¶	ex eo quod tale dominium | ut plurimum infert nocumentum .	urNSeXa, fXARVQ1
1.1.10	g8Yq6Qn	Por que este sennorio non es muy bueno nin muy digno .	quia huiusmodi Principatus non est optimus , | nec est dignus .	auAOMPT, bnhJTj1
1.1.10	p39N8Mn	Ca si la feliçidat e la bien andança deue ser puesta en algun sennorio deue seer puesta en sennorio .	Si enim felicitas in aliquo Principatu poni debet ,	ncJGCwd
1.1.10	zwblnbD	Mas ensennorear	ponenda est in Principatu optimo , et digno . Principari autem per ciuilem potentiam , est principari seruis ,	p4SAvjq
1.1.10	j0lef4K	Ca tal señorio es sennorio		
1.1.10	wsG8cTf	e los sennorios se estiendan	Cum ergo Principatus se extendant adinuicem ,	ow8hUPq
1.1.10	fXvCp7D	que ensennorear despotice	quam principari despotice ,	qDVyJoo
1.1.10	jzD8F1f	que quiere dezir enssennorear . seruilmente e sobre los sieruos ¶	idest dominaliter .	mRI3fvi
1.1.10	rtHoZrc	por que este sennorio faze grant danno en las mas cosas .	quia huiusmodi principatus infert | ut plurimum nocumentum .	qPPIIY6, nFMp2h6
1.2.6	pBxtbI0	e iudgadora es dicha mandadora e sennora .	et iudicatiuae dicitur esse praeceptiua :	oXSqviI
1.2.6	syl1g4x	e sennora delas cosas falladas e iudgandas	et iudicata | secundum uniuersales maximas ,	qQ8QJyP, iYv2hgM
1.2.7	ptx61ie	e el su sennorio non se torne en tirania	et non nomine tantum . Secundo studere debet ,	eVjL4gx
1.2.7	pUg1E0G	que en sennor ee natural . mente .	ne suus principatus in tyrannidem conuertatur . Tertio studere debet ,	ariATJV
1.2.7	lwmEB7C	la terçera que sin la pradençia non puede seer senor naturalmente¶	quia sine ipsa non potest naturaliter dominari .	rMRr3Ic
1.2.7	nLCJaXo	nin enssennorear natural mente .	quia sine ea non possunt naturaliter dominari .	pUObwdj
1.2.7	wrbNFyb	Ca uehemos que los omes son naturalmente sennores delas bestias	sed etiam confirmant singula regimina naturalia . Videmus enim naturaliter homines dominari bestiis ,	rqvXDA1
1.2.7	tezlQBI	Ca los omes naturalmente sen sennores delas bestias	Senes pueris . Homines naturaliter dominantur bestiis ,	ql1vl0g
1.2.7	pqGdpr5	Et do quier que ay sabiduria ha naturalmente sennorio .	et illud natureliter dominatur , semper principans pollet prudentia , a qua deficit qui naturaliter seruus existit .	itE4rCh
1.2.7	zy9pHpD	por la qual sera sennor	quod polleat prudentia , et intellectu . Quot ,	pDnSoGJ
1.2.7	l3wBvua	por que naturalmente sea sennor conuiene	si	rzJuVqz
1.2.12	vHhhWam	Ca los Reyes sin iustiçia maguera sean sennores	Nam reges iniusti	gHfmKAG
1.2.12	anLHsGG	fasta que son puestos en alguna dignidat o en algun prinçipado de sennorio . Ca quando algun omne non ha de gouernar	nisi constituantur in aliquo principatu . Nam quandiu aliquis non habet regere nisi seipsum ,	fYi7ryq
1.2.12	ycYBmPI	Mas quando es puesto en algun prinçipado o en algun sennorio	Sed quando constituitur in principatu aliquorum ,	r2fYweZ
1.2.12	pLVqajm	assi commo reina e sennora	quae perficit hominem in ordine ad alterum ,	zki2pMY
1.2.12	bXZqOpX	assi commo a sennor	cui bonitas ,	eiv5Uhr
1.2.16	a6F2Kpb	que ha de enssennorear alos otros	cuius est aliis dominari ,	vakYHpz
1.2.32	s4QC54V	que quiere dezir prinçipante e sennor ante	et dominatiuat .	zQOmNBX
1.2.32	sXRLizW	que es sennora	quae est dominans et principans respectu aliarum ,	eDPhVlg
1.3.3	glh3IAF	quando alguna çibdat auie señorio e tenie sennorio sobre las otras	et tenere monarchiam :	yT9V8fg
1.3.3	zvf395b	e publicofizo a Roma ser sennora	ad Rempublicam fecit Romam esse principantem	wbCftl2
1.3.3	aHchwn2	e auer sennorio en todo el mundo .	et monarcham .	lP2wtU1
1.3.4	tOQ8wHW	e de enssennorear prinçipalmente	Cum ergo in arte regnandi et principandi principaliter	qUsZ4EG
1.3.7	aGUURsm	luego commo oyen la palaura del sennor	antequam plene percipiant praeceptum eius ,	sdzoDr1
1.4.2	vmCNTzC	que ha sennorio	est mendacium fugiendum ,	bKCcldp
1.4.4	sdl8aam	por razon e por entendemiento Conuiene alos Reyes e alos prinçipes que son senores de los otros segnir costunbres bueans	decet Reges , et Principes , | qui aliis dominantur ,	d5dAIU7, n4Q3TZ8
1.4.5	d9cnQ1r	que alaban falsamente los fechos de los senores .	omnia aliorum facta commendantes .	oc8D0b4
1.4.6	uPtfZX6	La quinta es que se tienen por dignos de ser sennores	Quinto autem reputant se dignos principari . Sunt enim diuites elati .	rPpqxeV
1.4.6	tx7kYwV	Lo quinto los ricos cuydan que son dignos de ser sennores	ut diuitias bonis aliis praeferant . Quinto diuites reputant se dignos principari .	djYKOk3
1.4.6	mf0XAa2	Ca creen que las riquezas son dignidat de sennorio e de prinçipado	credunt enim , | quod dignitas principatus sint diuitiae .	ayrdoTE, nZN5oZK
1.4.6	n9s3hMW	que las aya conplidamente es diguno de ser sennor e prinçipe .	dignus sit principari .	kjs7Dup
1.4.6	dVeg5PE	que son dignos de ser sennores .	se esse dignos principari .	pJHUKtS
1.4.6	hClv5Z0	e del sennorio prinçipalmente esta en uirtudes e en sabiduria	et prudentiae ,	b2MSRgu
1.4.6	tyFUCrp	nin de ser sennores	nisi fugiant malos mores ipsorum diuitum ,	dT0xPWj
1.4.7	cZS7Kbg	e ha muchos so su sennorio .	et habet multos sub suo dominio ;	sSxIGLW
1.4.7	t3w3167	ca ninguons non se gouiernan so su sennorio .	quia nulli reguntur sub eius imperio ;	zDVjwKm
1.4.7	rXXGSlK	mas en grandes . Ca los poderosos estando en gerad sennorio	sed in magnis . Potentes enim existentes in Principatu ,	b2rukcf
2.1.3	ymR4v6C	por que cada vno deue estudiar de ser digno para gouernar e para enssennorear .	tum quia quilibet studere debet | ut sit dignus regere	wPwc0s3, osWBBGV
2.1.5	vCKasxV	Et de comunidat de sennor e de sieruo .	domini et serui ,	fn6A2bA
