Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.3	udrAXxs	vel societatem appellare possumus . Igitur computata Iustitia , et Prudentia duodecim sunt virtutes morales ;	pues que assi es contando la iustiçia e la pradençia con estas dichas diez son | doze las uirtudes morales	gLuj8LN, sW6A8s8
1.2.28	cgDNPSB	et blanditor : nec se debet tantum a societate subtrahere ,	Otrossi non se deue tirar | en tanto dela conpana	eRd7lpO, hhwotNW
1.4.5	l9E3WK4	et ex custodia corporis . Alia vero ex conuersatione , et societate quadam aliorum .	e dela guarda del cuerpo . | Et la otra se toma de parte dela conuerssaçion	j1JbS5U, dPzzQ9b
1.4.5	cJ8pjhm	et societate aliorum . Nobiles enim	e dela conpania de los bueon sse declara assi . | Ca los nobles	w29wvH6, nfJ1IYg
1.4.5	naOTEyM	Nam quia ut plurimum in curiis nobilium consueuit esse magna societas ,	Ca porque en la mayor parte en las cortes delos nobles es acostunbrado de auer grandes	hyqsL5Z
1.4.5	bPSmBIS	quia ut plurimum in societate vixerunt .	por que en la mayor parte visquieron en conpanina de buenos .	jQNk8RC
2.1.1	bttDE0w	est societas ,	que fazen ala bondamiento dela uida del ome es la conpannia .	kplWFEk
2.1.1	ssBCGyg	Quod autem societas maxime faciat ad sufficientiam vitae humanae ,	Mas que la conpannia mucho faga a conplimien to deuida de omne puede se demostrar	yGKoAgU
2.1.1	xGAg3Gw	ut homo ratione victus sufficiat sibi in vita , indiget societate , ut unusquisque suppleat alterius defectum .	en razonde iuan da ha mester conpannia | por que cada vno dellos cunpla el fallimiento del otro	nzTKr7K, n0hzcn7
2.1.1	eiAx9sW	et nullus sibi sufficiat sine societate alterius ,	e vestida conuenible | e ninguno non abaste assi mismo sin conpannia de otro	c28S9HK, oK8y6YR
2.1.1	z6hsLo9	et in societate est quodammodo homini naturale .	e en comunidat es en alguna manera natural alos omes ¶	nuOUj17
2.1.1	td9PPUl	Quare si sic naturale est , hominem esse animal sociale : recusantes societatem ,	assi es cosa natural al omne | de ser aian la conpanable	whtDRAH, znqbfaZ
2.1.1	eXCg8sM	et non possunt societatem aliorum supportare ,	e non pueden sofrir conpanna de los otros	pB9tHzI
2.1.1	ccRFwYL	quantum deseruiat societas humanae vitae : ut ad bene viuere sciant se ,	en quanto siruela conpannia ala uida humanal | por que sepan ordenar assi	x1BwX3A, kN8j7Bp
2.1.2	ecj5zx8	quia societas ,	por que aquellas conpania o aquella comunidat	wRBkDVN
2.1.2	jMW9FY7	de societate humana ,	Et pues que assi es en el capitulo sobredicho auemos determinado dela conpannia humanal	zj3wNbA
2.1.3	b0cD4pr	sic societas	assi commo ayuntamiento de çibdadanos es nonbrada çibdat .	xfjmASJ
2.1.4	hZgxQcE	sit communitas quaedam et societas personarum :	por las cosas sobredichͣs la casa es vna comunidat | e vna conpannia de muchͣs ꝑssonas .	eziTiux, pqVesAc
2.1.4	xRMynDh	cum non sit proprie communitas nec societas ad seipsum ,	Et commo non sea propreamente comunidat nin conpannia de vno	yRGdOSN
2.1.5	jB1xmip	nam propter bonum prolis principaliter instituta est societas maris	por que por el bien de los tijos	fhUddsu
2.1.7	g992jqa	Prima ratio sumitur ex parte societatis humanae .	la primera razon se toma de parte dela conpannia humanal¶	bJQSKms
2.1.7	lxyd1WU	Quare sicut dicebamus de societate politica ,	Por la qual cosa | assi conmodiziemos dela uida politica	yzfReyz, kWrHmKy
2.1.12	iVRZtxV	ad debitam societatem ,	ala nobleza del linage	hfakY60
2.1.12	j0XADiQ	ad debitam societatem ,	assi commo paresçe en las cosas sobredichͣs aconpannia conuenible	w5rPCjq
2.1.12	eQrwkOn	eo quod homo naturaliter esse animal sociale : prima autem naturalis societas ( ut patet per Philosophum in Polit’ )	por que el omne naturalmente es aian la conpannable ama termoino | ca la primera con pama natural	iKR0O9X, sEthUbc
