Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.1	rc9cEiP	que aquellas cosas que conujene al Senonr de saber mandar essas mesmas conujene al subdito De saber fazer ¶	quae oportet dominum scire praecipere , | haec oportet subditum scire facere :	hHyB2Xv, kI8bbzK
1.1.1	gZ90VmI	E si por qual manera Deuen mandar a los sus Subditos	quomodo debeant se habere , | et qualiter debeant suis subditis imperare ,	kpZWdd8, nFDYG4T
1.1.3	yTuB9I6	mas digno de ser subdito que prinçipe ¶	magis tamen est dignus subiici quam principari ,	iQiXVUv
1.1.4	wUSAJyW	et gouernando derechamente los sus . subditos ¶	ut Philosophi sentiebant .	rDeao44
1.1.11	gFX7PJG	Ca por esso se enduzen los sus subditos	debet esse curae ipsi Principi de debita fama , quia propter hoc inducuntur subditi ad virtutem .	okm9IHU
1.1.11	om6aU6X	por bueno los subditos toman manera	subditi suscipiunt materiam benefaciendi . Sic etiam ,	wfXeLzO
1.1.13	kPNTBsa	que ninguno de los sus subditos .		
1.2.11	mmQ2lpQ	e el principado sea de los subditos por conparaçion alas leyes e al prinçipe	et | principatus sit ipsorum subditorum per respectum ad leges ,	yMRPrkn, wgejAme
1.2.12	jHhuqBD	assi conmo los subditos	sicut subditi ,	iwgSbS0
1.2.33	fxzGO6o	que cada vno de los sus subditos tome del forma e manera de beuir	ut quilibet suus subditus accipiat inde formam viuendi ,	zPDysyC
1.3.3	g8uTvIr	las uirtudes que los subditos	quam in subditis ,	idclK4u
1.3.3	hP6X9Xz	que aduga e traya alos sus subditos a uirtud .	ut inducat alios ad virtutem .	wrAbhyE
1.4.1	uBJqu08	Ca si los fechos de los subditos lienpre le interpetrassen en mala parte contesçrie	Nam si acta subditorum semper interpretarentur in malam partem ,	meE1Tgy
1.4.3	rQv7fxk	e caerien en malquerençia de los sus subditos ¶	et incurrerent maliuolentiam subditorum .	heQ3Pz5
2.2.1	a82BlN3	e ayude a sus subditos	quomodo per debita auxilia influat , et subueniat suis subiectis ,	xRN1HkU
2.2.3	yxBSKOI	e assi es dicho gouernamiento despotico o suilo entiende el bien de los subditos .	quia vel sic regens intendit bonum proprium , et sic dicitur regimen despoticum vel dominatiuum : vel intendit bonum subditorum ,	sqlPmEB
