Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.32	vOokSfY	que presta un a los sus fiios en los conbites a sus vezinos	praestabant sibi filios inconuiuiis .	wYQM9OF
1.2.32	ooCN0qG	otrossi el su fiio non era en casa tomaua prestado el fijo de otro su vezino	si filius suus domi non erat , | a vicino suo mutuabat filium ,	w64vsOM, c5Lvd28
3.1.4	hIJEHqe	ca fazesse el uarion a tal monte de acresçentamiento de fijos e de metos e de parientes e de vezinos	fit enim vicus naturaliter ex crescentia filiorum collectaneorum , | et nepotum ,	ga0Ds50, ajYkMGl
3.1.14	bPFwK22	que son uezinos .	et ad loca vicina .	gZ0OpFd
3.1.14	cr01ZnN	quel son uezinos assi commo si aquella çibdat ouiesse çerca	ad loca vicina , | ut utrum ciuitas illa haberet	axP4oXT, oMmlDRQ
3.1.14	oNmwvCJ	de ssi uezinos amigos o enemigos flacos de coraçon o homillosos	circa se vicinos amicos | vel inimicos ,	etdvf6g, weLygjA
3.1.14	rrwATnK	Ca departidas las condiçonnes de los uezinos	Nam variatis conditionibus vicinorum ,	zhiliKk
3.1.14	mXgqLre	e la manera de los regnos e las cercunstaçias de los uezinos	et circumstantias vicinorum .	yal4oQr
3.1.18	lbC0xVm	nin fagan tuertos a sus uezinos	et iniurientur in uxores ,	mQIQBH7
3.2.31	kgdmiDF	que los trayen fierro e los otros metales conpra un a las mugieres de sus vezinos	et alia metalla , | emebant uxores adinuicem :	zrD4Kkm, uVvJmSF
