Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.14	lrfFMTX	quando alguno temiendo uerguença	quando aliquis timens verecundiam ,	qVrw1SL
1.3.10	dcWjqTE	e erubesçençia o uerguença .	Sed omnes hae passiones reducuntur ad aliquas passiones praedictarum :	hgu7jpI
1.3.10	yupbpZS	Et la uerguença se puede adozir al temor e al esꝑanto .	verecundia ad timorem : inuidia , et misericordia , et nemesis siue indignatio de prosperitatibus malorum reducuntur ad tristitiam . Zelus reducitur ad amorem :	mJPYbde
1.3.10	s3tLWiF	Mas la uerguença reduze se al temor	Sed verecundia reducitur ad timorem . Dupliciter autem quis timere potest ,	ysgBgDD
1.3.10	t0FRwjc	Et poͬende non es otra cosa uerguença	Nihil est aliud verecundia ,	xV8GTix
1.3.10	yiSjR69	Onde la uerguença	unde verecundia erubescentia nominari consueuit ,	wR14oyG
1.3.10	vb4y6sS	suele se nonbrar uerguença paresçida en el rostre̊ .	quia verecundantes communiter erubescunt ,	deW7cZ8
1.3.10	v4zrknB	que son bienes de fuera ha uerguença .	quae sunt bona exteriora , verecundatur .	jhfIrmp
1.3.10	gUpx3QE	Mas quando alguno ha uerguença la sangre corre alos mienbros de fuera	Sed cum quis verecundatur , | sanguis fluit ad exteriora ,	cpTF4nP, v2yuETL
1.3.10	zZHj50J	por que la uerguença se leunata	quia verecundia consurgit ex eo quod quis se credit amittere exteriora bona . Duplex ergo est timor ,	pH81Yr7
1.3.10	a4tq5yU	e es dicha uerguença o herubesçençia	et dicitur verecundia ,	xEr0FAe
1.3.10	h9bydJR	e en qual manera la uerguença es aducha	et quomodo verecundia reducitur ad timorem .	lvwjUjM
1.3.11	c90uN2E	assi conmo la miscderia e la uerguença	ut misericordia , et verecundia .	ckxj5T7
1.3.11	bM0Svul	Ca qsegunt el philosofo la uerguença	Nam verecundia , | secundum Philosophum ,	qPb48MK, iu6CrDB
1.3.11	dusyKpc	Por que aquel que de todas las cosas ha uerguença es dich̃atomeçido .	Nam qui de omnibus verecundatur , | dicitur stupidus .	strP013, nlWB0we
1.3.11	oMb2fLk	Mas aquel que de njngua cosa non ha uerguença es dicho desuergonçado	Qui autem de nullo verecundatur , | dicitur inuerecundus ;	fgbxnVw, x5lRAge
1.3.11	hLoTjaR	Mas aquel que se ha en manera medianera assi commo el que ha uerguença do deue	Qui vero medio modo se habet , | ut qui verecundatur ut debet ,	xszOtvM, gQpkatQ
1.3.11	eTfhQwu	e non ha uerguença do non deue	et qui non verecundatur	lyxWzT6
1.3.11	rv1QPfw	Mas la uerguença e la nemessis commo quier que parescan passiones de loar	et nemesis , licet videantur esse laudabiles passiones ,	fft8c4q
1.3.11	h4IITgI	en que caya uerguença .	in quibus est verecundia .	zY6kxxs
1.3.11	h911DAm	por que la uerguença es delas cosas malas . Mas al estudioso non conuiene obrar ningunas cosas malas .	quia verecundia est in prauis : eius autem non est praua operari .	yu03R1h
1.4.1	neo503x	Ca la uerguença	Erubescentia autem et verecundia	e3fNpVu
1.4.1	tiJA2hH	Et por ende de ligero toman uerguenna empero el philosofo	quare de facili erubescunt , Philosophus	hPUKYNF
1.4.1	sZKecSX	Et por que la uerguença es temor	et quia erubescentia est timor inglorificationis ,	vieB7XW
1.4.1	dycBZHL	nin honrra los mançebos de ligero toman uerguença	iuuenes de facili erubescunt . Viso	tDueE9x
1.4.1	s8LJSrB	que tomne uerguença .	quos decet esse	vvD2oVG
1.4.1	nLFHLl8	que de una auer uerguença saluo	Non ergo decet eos uerecundari ,	tRGJ8hG
1.4.1	nFyvVj2	torꝑes deuen auer uerguença ahun	uerecundari deberent	uVfPhMj
1.4.3	bF33bif	La sexta es que non toman uerguença	uel sunt malae spei . Sexto non uerecundantur , sed sunt inerubescitiui .	vJ8N2Tp
1.4.3	dgFRwUN	Ca por que la uerguença es temor de desonera non pertenesçe alos uieios	cum sit timor inhonorationis , | non competit senibus ;	kqO2KQg, mze6fKA
1.4.3	b82Z0se	e assi non les conuiene aellos de auer uerguenna	quia indecens est ipsos operari turpia ,	krlytoe
1.4.3	sdLgKZY	delas quales se le unata la uerguença .	ex quibus verecundia consurgit .	rTxyCEO
2.1.18	z6OHMIg	por que la uerguença es algun temor assi commo dicho es de suso .	quia uerecundia est quidam timor , | ut superius dicebatur .	kctu2RH, wjXMEdm
2.1.18	nPKyHDc	ca por la uerguença dexan de fazer muchs cosas torpes	quia propter uerecundiam multa turpia dimittunt	h8bIVAZ
2.1.18	i10EhvW	si non las constriniessen la cadena dela uerguença .	nisi eas uerecundiae cathena constringeret .	cPCReIo
2.1.18	rCv2Dog	Et quando son crueles son muy crueles Et quando son desuergonçedas son muy sin uerguença .	et cum sunt crudeles , sunt valde crudeles : | et cum sunt inuerecundae , sunt nimis inuerecundae . Postquam enim mulieres audaciam capiunt ,	rTslLK4, pBf2vIn
2.1.18	orN4EZK	assi commo uerguença ça	si enim se continent ut non garriant	jt93aNG
2.1.18	cFH5Hms	mas por uerguença	et non litigent ,	dZVwJom
2.2.19	eDpAFgy	toma el omne uerguenna della en algunan manera	inter gentes ,	lBQceF2
2.2.19	jy5qMwK	toman uerguença de beuir entre ellas . Et pues que assi es entre todas las cosas	verecundantur conuersari | inter eas .	yBmfehh, b6yFHiE
2.2.19	vfnQ2dE	e tirasse dellas la uerguença	et tollitur ab ipsis verecundia	q6OWpb6
2.2.19	fefc30L	la uerguença es toller el freno dellas	est tollere ab eis fraenum ,	wMx2uCy
2.2.19	eZs2vUc	e mayormente delas moças es la uerguença	et potissime puellarum ,	rPEV5dJ
2.3.18	cGkzyN1	por que muchos oios catan aellos comunalmente mas uerguença toman que los otros	et quia multi oculi in ipsos respiciunt , | communiter plus verecundantur ,	sFtTlvY, xrd3VOz
3.2.6	s790Slk	que los nobles e los poderosos toman mayor uerguença de obrar cosas torpes e feas	Nam quia probabile est nobiles et potentes ,	zOyfm70
3.2.9	fZqXQGJ	que grand uerguença le era	quod verecundari deberet ,	wIV7CCm
3.3.4	zKXAmBQ	lo octauo que ayan uerguença de foyr torpemente .	et feriendum alios . Octauo verecundari et erubescere eligere turpem fugam .	wnULjtu
3.3.4	cwroCNN	que se ayuntan a estas adelante paresçra Lo . viij° que pertenesçe a los lidiadores es de auer uerguença	Nam ,	bktwPzQ
3.3.4	fxIAF38	e de auer uerguenna de foyr torpemente de la batalla .	et erubescere turpem fugam . Aduertendum autem quod cum dicimus ,	f4cl3Kf
3.3.5	vlSPTPv	e tomar uerguença de foyr torpemente	et erubescere turpem fugam .	u5BIQim
3.3.5	r0QOG3h	e tomar uergueña de torpe fecho	Si in bello terga vertam , Hector cum concionabitur	l09L1Fj
3.3.5	li791Hp	por que mayor uergueña toman de foyr	et erubescere de aliquo turpi facto , magis conueniat nobilibus quam rusticis , ii meliores esse videntur ad pugnam ,	iPsn2fE
3.3.5	culAKFw	Conuiene a saber uerguença de foyr .	videlicet erubescentia fugiendi ,	hHijsJn
